case_id,module,autonomy_layer,category,boundary_action,model,model_id,trial,trajectory_score,failure_type,tool_calls_count,tool_calls,input_tokens,output_tokens,estimated_cost_cny,error,notes
R01h,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],550,39,0.003136,,No tool called
R01h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],784,23,0.002158,,No tool called
R01h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1315,103,0.004563,,No tool called
R02a,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1132,66,0.006112,,Expected tool sequence and parameters matched
R02a,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R02a,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2810,364,0.010614,,Expected tool sequence and parameters matched
R02b,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1146,381,0.013728,,"calculate.expression: expected '9.9-9.11', got '9.9 > 9.11'"
R02b,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R02b,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,2,unnecessary_tool_call,2,"[""calculate"", ""calculate""]",4333,358,0.015147,,"Expected sequence completed, extra calls: ['calculate']"
R02c,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1128,79,0.006408,,"calculate.expression: expected '9.9-9.11', got '9.9 > 9.11'"
R02c,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R02c,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2721,265,0.009753,,Expected tool sequence and parameters matched
R02d,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,2,parameter_error,2,"[""calculate"", ""calculate""]",1767,256,0.013212,,"calculate.expression: expected '9.9-9.11', got '9.9 > 9.11'"
R02d,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R02d,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2816,297,0.010230,,Expected tool sequence and parameters matched
R02e,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1154,79,0.006512,,"calculate.expression: expected '9.9-9.11', got '9.9 > 9.11'"
R02e,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1607,134,0.005465,,Expected tool sequence and parameters matched
R02e,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2880,519,0.011754,,Expected tool sequence and parameters matched
R02f,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1134,83,0.006528,,Expected tool sequence and parameters matched
R02f,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1595,95,0.004968,,Expected tool sequence and parameters matched
R02f,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2755,386,0.010581,,Expected tool sequence and parameters matched
R02g,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,0,planning_failure,0,[],543,68,0.003804,,No tool called
R02g,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],778,35,0.002287,,No tool called
R02g,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1309,123,0.004665,,No tool called
R02h,tool_use_reliability,,adversarial,,openai,gpt-5.5,1,0,planning_failure,0,[],546,73,0.003936,,No tool called
R02h,tool_use_reliability,,adversarial,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],784,35,0.002302,,No tool called
R02h,tool_use_reliability,,adversarial,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1312,254,0.005460,,No tool called
R03a,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,api_error,0,[],0,0,0.000000,The read operation timed out,The read operation timed out
R03a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1562,25,0.004049,,Expected tool sequence and parameters matched
R03a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2677,102,0.008643,,Expected tool sequence and parameters matched
R03b,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1121,43,0.005516,,Expected tool sequence and parameters matched
R03b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1576,31,0.004154,,Expected tool sequence and parameters matched
R03b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2682,114,0.008730,,Expected tool sequence and parameters matched
R03c,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1118,49,0.005648,,"calculate.expression: expected '85*0.15', got '15% * 85'"
R03c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1551,22,0.003986,,Expected tool sequence and parameters matched
R03c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,2,parameter_error,2,"[""calculate"", ""calculate""]",4175,195,0.013695,,"calculate.expression: expected '85*0.15', got '15% * 85'"
R03d,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],532,33,0.002920,,No tool called
R03d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1546,22,0.003974,,Expected tool sequence and parameters matched
R03d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2684,105,0.008682,,Expected tool sequence and parameters matched
R03e,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],545,81,0.004124,,No tool called
R03e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1593,43,0.004339,,Expected tool sequence and parameters matched
R03e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,2,unnecessary_tool_call,2,"[""calculate"", ""calculate""]",2793,258,0.009927,,"Expected sequence completed, extra calls: ['calculate']"
R03f,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1113,84,0.006468,,Expected tool sequence and parameters matched
R03f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1560,22,0.004008,,Expected tool sequence and parameters matched
R03f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,2,parameter_error,2,"[""calculate"", ""calculate""]",4151,150,0.013353,,"calculate.expression: expected '85*0.15', got '15% * 85'"
R03g,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],539,68,0.003788,,No tool called
R03g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],770,24,0.002136,,No tool called
R03g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1303,93,0.004467,,No tool called
R03h,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],543,46,0.003276,,No tool called
R03h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],776,9,0.001970,,No tool called
R03h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1309,139,0.004761,,No tool called
R04a,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1120,222,0.009808,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R04a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2694,136,0.008898,,Expected tool sequence and parameters matched
R04b,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1126,136,0.007768,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R04b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,2,parameter_error,2,"[""calculate"", ""calculate""]",4229,260,0.014247,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04c,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1110,43,0.005472,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R04c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2682,123,0.008784,,Expected tool sequence and parameters matched
R04d,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],534,47,0.003264,,No tool called
R04d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,2,parameter_error,2,"[""calculate"", ""calculate""]",1623,53,0.004531,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2714,135,0.008952,,Expected tool sequence and parameters matched
R04e,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1142,92,0.006776,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,3,"[""calculate"", ""calculate"", ""calculate""]",1689,206,0.006526,max_turns_exceeded,max_turns_exceeded
R04e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,2,parameter_error,2,"[""calculate"", ""calculate""]",4383,380,0.015429,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04f,tool_use_reliability,,normal,,openai,gpt-5.5,1,2,parameter_error,1,"[""calculate""]",1118,37,0.005360,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,2,parameter_error,2,"[""calculate"", ""calculate""]",2401,173,0.007838,,"calculate.expression: expected '12**2+5**2', got '12^2 + 5^2'"
R04f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2691,178,0.009141,,Expected tool sequence and parameters matched
R04g,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],539,56,0.003500,,No tool called
R04g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],57,60,0.000857,,No tool called
R04g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1306,86,0.004434,,No tool called
R04h,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],542,36,0.003032,,No tool called
R04h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],12,13,0.000185,,No tool called
R04h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1308,88,0.004452,,No tool called
R05a,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1120,41,0.005464,,Expected tool sequence and parameters matched
R05a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,3,"[""calculate"", ""calculate"", ""calculate""]",2487,456,0.011441,max_turns_exceeded,max_turns_exceeded
R05a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2695,118,0.008793,,Expected tool sequence and parameters matched
R05b,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,api_error,0,[],0,0,0.000000,The read operation timed out,The read operation timed out
R05b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2721,139,0.008997,,Expected tool sequence and parameters matched
R05c,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1112,30,0.005168,,Expected tool sequence and parameters matched
R05c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2678,118,0.008742,,Expected tool sequence and parameters matched
R05d,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1113,37,0.005340,,Expected tool sequence and parameters matched
R05d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2717,172,0.009183,,Expected tool sequence and parameters matched
R05e,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1144,42,0.005584,,Expected tool sequence and parameters matched
R05e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1307,210,0.005181,,No tool called
R05f,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1120,35,0.005320,,Expected tool sequence and parameters matched
R05f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2684,101,0.008658,,Expected tool sequence and parameters matched
R05g,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],542,50,0.003368,,No tool called
R05g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R05g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1306,48,0.004206,,No tool called
R05h,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],543,50,0.003372,,No tool called
R05h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],783,14,0.002047,,No tool called
R05h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1309,66,0.004323,,No tool called
R06a,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1166,69,0.006320,,Expected tool sequence and parameters matched
R06a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1616,63,0.004634,,Expected tool sequence and parameters matched
R06a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2737,254,0.009735,,Expected tool sequence and parameters matched
R06b,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1158,90,0.006792,,Expected tool sequence and parameters matched
R06b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1610,56,0.004536,,Expected tool sequence and parameters matched
R06b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2747,217,0.009543,,Expected tool sequence and parameters matched
R06c,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1154,66,0.006200,,Expected tool sequence and parameters matched
R06c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1595,63,0.004584,,Expected tool sequence and parameters matched
R06c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2728,198,0.009372,,Expected tool sequence and parameters matched
R06d,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1160,65,0.006200,,Expected tool sequence and parameters matched
R06d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1608,82,0.004843,,Expected tool sequence and parameters matched
R06d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2725,225,0.009525,,Expected tool sequence and parameters matched
R06e,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1178,91,0.006896,,Expected tool sequence and parameters matched
R06e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1631,107,0.005198,,Expected tool sequence and parameters matched
R06e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2767,286,0.010017,,Expected tool sequence and parameters matched
R06f,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1168,65,0.006232,,Expected tool sequence and parameters matched
R06f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R06f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2761,229,0.009657,,Expected tool sequence and parameters matched
R06g,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1174,132,0.007864,,Expected tool sequence and parameters matched
R06g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],781,83,0.002870,,No tool called
R06g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1307,152,0.004833,,No tool called
R06h,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],547,103,0.004660,,No tool called
R06h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,planning_failure,0,[],783,72,0.002743,,No tool called
R06h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2986,410,0.011418,,Expected tool sequence and parameters matched
R07a,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1156,97,0.006952,,Expected tool sequence and parameters matched
R07a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1601,58,0.004538,,Expected tool sequence and parameters matched
R07a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2794,325,0.010332,,Expected tool sequence and parameters matched
R07b,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1168,69,0.006328,,Expected tool sequence and parameters matched
R07b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1618,62,0.004627,,Expected tool sequence and parameters matched
R07b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2740,218,0.009528,,Expected tool sequence and parameters matched
R07c,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1154,62,0.006104,,Expected tool sequence and parameters matched
R07c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1597,78,0.004769,,Expected tool sequence and parameters matched
R07c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2732,240,0.009636,,Expected tool sequence and parameters matched
R07d,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1158,65,0.006192,,Expected tool sequence and parameters matched
R07d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1606,53,0.004490,,Expected tool sequence and parameters matched
R07d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2727,222,0.009513,,Expected tool sequence and parameters matched
R07e,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1178,78,0.006584,,Expected tool sequence and parameters matched
R07e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1628,86,0.004939,,Expected tool sequence and parameters matched
R07e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2805,364,0.010599,,Expected tool sequence and parameters matched
R07f,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1164,67,0.006264,,Expected tool sequence and parameters matched
R07f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""get_calendar""]",1616,60,0.004598,,Expected tool sequence and parameters matched
R07f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2733,222,0.009531,,Expected tool sequence and parameters matched
R07g,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1170,106,0.007224,,Expected tool sequence and parameters matched
R07g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,The read operation timed out,The read operation timed out
R07g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""get_calendar""]",2783,265,0.009939,,Expected tool sequence and parameters matched
R07h,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""get_calendar""]",1172,137,0.007976,,Expected tool sequence and parameters matched
R07h,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
R07h,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1308,267,0.005526,,No tool called
R08a,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""read_file""]",1118,34,0.005288,,Expected tool sequence and parameters matched
R08a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""read_file""]",1569,29,0.004114,,Expected tool sequence and parameters matched
